ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
97745,Xetaq Qazyumov,M,25,180,97,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
97745,Xetaq Qazyumov,M,29,180,97,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
97745,Xetaq Qazyumov,M,33,180,97,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
97756,Qian Hong,F,17,167,62,China,CHN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Butterfly,Bronze
97756,Qian Hong,F,21,167,62,China,CHN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,Gold
97762,Qiao Hong,F,23,162,62,China,CHN,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Singles,Silver
97762,Qiao Hong,F,23,162,62,China-2,CHN,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Doubles,Gold
97762,Qiao Hong,F,27,162,62,China,CHN,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Singles,Bronze
97762,Qiao Hong,F,27,162,62,China-1,CHN,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Doubles,Gold
97766,Qiao Yunping,F,27,162,60,China-2,CHN,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Doubles,Silver
97767,Qieyang Shenjie,F,21,160,45,China,CHN,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk,Bronze
97769,Qin Dongya,F,24,172,70,China,CHN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Middleweight,Bronze
97771,Qin Kai,M,22,170,65,China,CHN,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Springboard,Bronze
97771,Qin Kai,M,22,170,65,China,CHN,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Springboard,Gold
97771,Qin Kai,M,26,170,65,China,CHN,2012 Summer,2012,Summer,London,Diving,Diving Men's Springboard,Silver
